symbol,date,close
ABX,2024-09-03,26.57
ABX,2024-09-04,26.13
ABX,2024-09-05,26.3
ABX,2024-09-06,25.79
ABX,2024-09-09,26.15
ABX,2024-09-10,26.68
ABX,2024-09-11,26.85
ABX,2024-09-12,27.99
ABX,2024-09-13,28.31
ABX,2024-09-16,27.88
ABX,2024-09-17,27.85
ABX,2024-09-18,27.36
ABX,2024-09-19,27.44
ABX,2024-09-20,27.62
ABX,2024-09-23,27.3
ABX,2024-09-24,27.48
ABX,2024-09-25,27.93
ABX,2024-09-26,28.32
ABX,2024-09-27,27.36
ABX,2024-09-30,26.9
ABX,2024-10-01,27.41
ABX,2024-10-02,27.26
ABX,2024-10-03,26.91
ABX,2024-10-04,27.27
ABX,2024-10-07,27.11
ABX,2024-10-08,26.83
ABX,2024-10-09,26.96
ABX,2024-10-10,27.61
ABX,2024-10-11,27.49
ABX,2024-10-15,27.89
ABX,2024-10-16,27.42
ABX,2024-10-17,28.07
ABX,2024-10-18,28.88
ABX,2024-10-21,28.89
ABX,2024-10-22,29.28
ABX,2024-10-23,28.77
ABX,2024-10-24,28.15
ABX,2024-10-25,27.26
ABX,2024-10-28,27.75
ABX,2024-10-29,28.23
ABX,2024-10-30,27.88
ABX,2024-10-31,26.91
ABX,2024-11-01,26.6
ABX,2024-11-04,26.27
ABX,2024-11-05,26.11
ABX,2024-11-06,25.72
ABX,2024-11-07,25.63
ABX,2024-11-08,25.62
ABX,2024-11-11,24.22
ABX,2024-11-12,23.73
ABX,2024-11-13,23.53
ABX,2024-11-14,23.72
ABX,2024-11-15,23.46
ABX,2024-11-18,24.1
ABX,2024-11-19,24.76
ABX,2024-11-20,25.03
ABX,2024-11-21,25.31
ABX,2024-11-22,25.49
ABX,2024-11-25,24.73
ABX,2024-11-26,24.69
ABX,2024-11-27,24.65
ABX,2024-11-28,24.68
ABX,2024-11-29,24.52
ABX,2024-12-02,24.23
ABX,2024-12-03,24.79
ABX,2024-12-04,24.45
ABX,2024-12-05,23.79
ABX,2024-12-06,23.75
ABX,2024-12-09,24.23
ABX,2024-12-10,24.31
ABX,2024-12-11,24.99
ABX,2024-12-12,24.44
ABX,2024-12-13,23.9
ABX,2024-12-16,23.31
ABX,2024-12-17,23.25
ABX,2024-12-18,22.38
ABX,2024-12-19,21.91
ABX,2024-12-20,22.22
ABX,2024-12-23,22.39
ABX,2024-12-24,22.55
ABX,2024-12-27,22.6
ABX,2024-12-30,22.19
ABX,2024-12-31,22.29
AEM,2024-09-03,107.01
AEM,2024-09-04,105.8
AEM,2024-09-05,106.37
AEM,2024-09-06,104.31
AEM,2024-09-09,105.46
AEM,2024-09-10,107.31
AEM,2024-09-11,107.36
AEM,2024-09-12,111.24
AEM,2024-09-13,113.07
AEM,2024-09-16,112.19
AEM,2024-09-17,111.91
AEM,2024-09-18,110.78
AEM,2024-09-19,110.94
AEM,2024-09-20,112.72
AEM,2024-09-23,111.64
AEM,2024-09-24,112.88
AEM,2024-09-25,113.67
AEM,2024-09-26,113.31
AEM,2024-09-27,110.63
AEM,2024-09-30,108.95
AEM,2024-10-01,110.4
AEM,2024-10-02,110.18
AEM,2024-10-03,108.4
AEM,2024-10-04,106.97
AEM,2024-10-07,106.56
AEM,2024-10-08,106.71
AEM,2024-10-09,107.19
AEM,2024-10-10,109.22
AEM,2024-10-11,109.33
AEM,2024-10-15,113.22
AEM,2024-10-16,113.07
AEM,2024-10-17,113.45
AEM,2024-10-18,119.01
AEM,2024-10-21,119.88
AEM,2024-10-22,121.62
AEM,2024-10-23,122.65
AEM,2024-10-24,121.81
AEM,2024-10-25,120.79
AEM,2024-10-28,120.52
AEM,2024-10-29,123.74
AEM,2024-10-30,122.69
AEM,2024-10-31,120.18
AEM,2024-11-01,119.75
AEM,2024-11-04,119.4
AEM,2024-11-05,118.74
AEM,2024-11-06,116.07
AEM,2024-11-07,118.59
AEM,2024-11-08,116.67
AEM,2024-11-11,108.8
AEM,2024-11-12,107.54
AEM,2024-11-13,106.43
AEM,2024-11-14,109.24
AEM,2024-11-15,108.15
AEM,2024-11-18,112.14
AEM,2024-11-19,115.19
AEM,2024-11-20,115.79
AEM,2024-11-21,116.76
AEM,2024-11-22,117.92
AEM,2024-11-25,114.26
AEM,2024-11-26,118.32
AEM,2024-11-27,117.14
AEM,2024-11-28,117.47
AEM,2024-11-29,118.06
AEM,2024-12-02,116.39
AEM,2024-12-03,121.01
AEM,2024-12-04,120.27
AEM,2024-12-05,119.24
AEM,2024-12-06,118.27
AEM,2024-12-09,119.85
AEM,2024-12-10,119.54
AEM,2024-12-11,123.76
AEM,2024-12-12,121.3
AEM,2024-12-13,119.22
AEM,2024-12-16,117.78
AEM,2024-12-17,117
AEM,2024-12-18,112.23
AEM,2024-12-19,111.34
AEM,2024-12-20,112.41
AEM,2024-12-23,113.33
AEM,2024-12-24,113.01
AEM,2024-12-27,113.41
AEM,2024-12-30,111.79
AEM,2024-12-31,112.46
AQN,2024-09-03,7.2
AQN,2024-09-04,7.19
AQN,2024-09-05,7.13
AQN,2024-09-06,7.08
AQN,2024-09-09,7.17
AQN,2024-09-10,7.23
AQN,2024-09-11,7.27
AQN,2024-09-12,7.32
AQN,2024-09-13,7.48
AQN,2024-09-16,7.5
AQN,2024-09-17,7.5
AQN,2024-09-18,7.49
AQN,2024-09-19,7.41
AQN,2024-09-20,7.54
AQN,2024-09-23,7.54
AQN,2024-09-24,7.31
AQN,2024-09-25,7.23
AQN,2024-09-26,7.34
AQN,2024-09-27,7.46
AQN,2024-09-30,7.39
AQN,2024-10-01,7.46
AQN,2024-10-02,7.43
AQN,2024-10-03,7.24
AQN,2024-10-04,7.14
AQN,2024-10-07,7.04
AQN,2024-10-08,7.04
AQN,2024-10-09,6.9
AQN,2024-10-10,6.86
AQN,2024-10-11,6.89
AQN,2024-10-15,7.03
AQN,2024-10-16,7.11
AQN,2024-10-17,7.08
AQN,2024-10-18,7.14
AQN,2024-10-21,7.07
AQN,2024-10-22,7.01
AQN,2024-10-23,6.96
AQN,2024-10-24,6.81
AQN,2024-10-25,6.89
AQN,2024-10-28,6.96
AQN,2024-10-29,6.73
AQN,2024-10-30,6.76
AQN,2024-10-31,6.73
AQN,2024-11-01,6.64
AQN,2024-11-04,6.57
AQN,2024-11-05,6.61
AQN,2024-11-06,6.61
AQN,2024-11-07,6.66
AQN,2024-11-08,6.67
AQN,2024-11-11,6.84
AQN,2024-11-12,6.66
AQN,2024-11-13,6.63
AQN,2024-11-14,6.75
AQN,2024-11-15,6.77
AQN,2024-11-18,6.74
AQN,2024-11-19,6.66
AQN,2024-11-20,6.59
AQN,2024-11-21,6.66
AQN,2024-11-22,6.65
AQN,2024-11-25,6.78
AQN,2024-11-26,6.71
AQN,2024-11-27,6.85
AQN,2024-11-28,6.88
AQN,2024-11-29,6.95
AQN,2024-12-02,6.78
AQN,2024-12-03,6.82
AQN,2024-12-04,6.66
AQN,2024-12-05,6.63
AQN,2024-12-06,6.64
AQN,2024-12-09,6.79
AQN,2024-12-10,6.59
AQN,2024-12-11,6.44
AQN,2024-12-12,6.43
AQN,2024-12-13,6.35
AQN,2024-12-16,6.42
AQN,2024-12-17,6.4
AQN,2024-12-18,6.23
AQN,2024-12-19,6.18
AQN,2024-12-20,6.32
AQN,2024-12-23,6.43
AQN,2024-12-24,6.42
AQN,2024-12-27,6.43
AQN,2024-12-30,6.41
AQN,2024-12-31,6.38
ATD,2024-09-03,75
ATD,2024-09-04,74.43
ATD,2024-09-05,75.41
ATD,2024-09-06,76.86
ATD,2024-09-09,77.92
ATD,2024-09-10,76.84
ATD,2024-09-11,76.67
ATD,2024-09-12,75.87
ATD,2024-09-13,75
ATD,2024-09-16,75.75
ATD,2024-09-17,75.32
ATD,2024-09-18,75.38
ATD,2024-09-19,75.89
ATD,2024-09-20,76.09
ATD,2024-09-23,76.57
ATD,2024-09-24,75.35
ATD,2024-09-25,74.93
ATD,2024-09-26,75.12
ATD,2024-09-27,75.32
ATD,2024-09-30,74.77
ATD,2024-10-01,74.2
ATD,2024-10-02,73.15
ATD,2024-10-03,73.85
ATD,2024-10-04,73.96
ATD,2024-10-07,73.82
ATD,2024-10-08,74.4
ATD,2024-10-09,73.79
ATD,2024-10-10,74.8
ATD,2024-10-11,72.27
ATD,2024-10-15,73
ATD,2024-10-16,74.19
ATD,2024-10-17,73.75
ATD,2024-10-18,73.73
ATD,2024-10-21,74.18
ATD,2024-10-22,74.09
ATD,2024-10-23,73.47
ATD,2024-10-24,72
ATD,2024-10-25,71.43
ATD,2024-10-28,74.19
ATD,2024-10-29,73.31
ATD,2024-10-30,74.18
ATD,2024-10-31,72.61
ATD,2024-11-01,73.04
ATD,2024-11-04,72.59
ATD,2024-11-05,73.64
ATD,2024-11-06,76.34
ATD,2024-11-07,76.8
ATD,2024-11-08,77.03
ATD,2024-11-11,76.78
ATD,2024-11-12,77.39
ATD,2024-11-13,78.73
ATD,2024-11-14,81.33
ATD,2024-11-15,79.37
ATD,2024-11-18,78.36
ATD,2024-11-19,77.59
ATD,2024-11-20,77.2
ATD,2024-11-21,78.69
ATD,2024-11-22,78.59
